"Time","Location ID","Analyte ID","Analyte Type","Solution Type","Units","Values by realization"
2012,"RRD1-1","As","HAZ","DOSEINH","mg/kg-day", 8.56742E-08
2012,"RRD1-1","As","HAZ","DOSEDER","mg/kg-day", 1.67624E-10
2012,"RRD1-1","As","HAZ","HQING","Unitless", 1.02494E-02
2012,"RRD1-1","As","HAZ","HQINH","Unitless", 2.85581E-04
2012,"RRD1-1","As","HAZ","HQDER","Unitless", 5.58745E-07
2012,"RRD1-1","As","HAZ","ANADOSE","mg/kg-day", 3.16065E-06
2012,"RRD1-1","As","HAZ","ANAHQ","Unitless", 1.05355E-02
2012,"RRD1-1","Hg","HAZ","DOSEING","mg/kg-day", 1.28476E-05
2012,"RRD1-1","Hg","HAZ","DOSEINH","mg/kg-day", 8.56742E-07
2012,"RRD1-1","Hg","HAZ","DOSEDER","mg/kg-day", 1.34099E-11
2012,"RRD1-1","Hg","HAZ","ANADOSE","mg/kg-day", 1.37043E-05
2012,"RRD1-1","Hg","HAZ","ANAHQ","Unitless", 5.27875E-02
2012,"RRD1-1","Zn","HAZ","DOSEING","mg/kg-day", 1.04484E-05
2012,"RRD1-1","Zn","HAZ","DOSEINH","mg/kg-day", 1.79916E-06
2012,"RRD1-1","Zn","HAZ","DOSEDER","mg/kg-day", 2.81608E-11
2012,"RRD1-1","Zn","HAZ","ANADOSE","mg/kg-day", 1.22476E-05
2012,"RRD1-1","Zn","HAZ","ANAHQ","Unitless", 1.79916E+01
2012,"RRD1-1","COMBIN","HAZ","SUMHQ","Unitless", 1.80549E+01
2012,"RRD2-1","ACNAPE","CONMEDIA","GWAT","ug/L", 4.20000E-04
2012,"RRD2-1","ACNAPE","CONMEDIA","SWAT","ug/L", 2.20000E-04
2012,"RRD2-1","ACNAPE","CONMEDIA","SEEP","ug/L", 1.48000E-03
2012,"RRD2-1","ACNAPE","CONMEDIA","AIRC","ug/m^3", 2.00000E-03
2012,"RRD2-1","As","CONMEDIA","GWAT","ug/L", 7.00000E+00
2012,"RRD2-1","As","CONMEDIA","SWAT","ug/L", 4.00000E-01
2012,"RRD2-1","As","CONMEDIA","SEEP","ug/L", 4.19800E+01
2012,"RRD2-1","As","CONMEDIA","AIRC","ug/m^3", 1.00000E-02
2012,"RRD2-1","Hg","CONMEDIA","GWAT","ug/L", 2.00000E-01
2012,"RRD2-1","Hg","CONMEDIA","SWAT","ug/L", 4.20000E-02
2012,"RRD2-1","Hg","CONMEDIA","SEEP","ug/L", 1.03740E+00
2012,"RRD2-1","Hg","CONMEDIA","AIRC","ug/m^3", 1.50000E+00
2012,"RRD2-1","Zn","CONMEDIA","GWAT","ug/L", 4.20000E-01
2012,"RRD2-1","Zn","CONMEDIA","SWAT","ug/L", 8.82000E-02
2012,"RRD2-1","Zn","CONMEDIA","SEEP","ug/L", 2.17854E+00
2012,"RRD2-1","Zn","CONMEDIA","AIRC","ug/m^3", 3.15000E+00
2012,"RRD2-1","ACNAPE","CONFOODS","FISH","ug/kg", 1.54869E-01
2012,"RRD2-1","ACNAPE","CONFOODS","FISH_2","ug/kg", 3.17281E-01
2012,"RRD2-1","As","CONFOODS","FISH","ug/kg", 1.07755E+02
2012,"RRD2-1","As","CONFOODS","FISH_2","ug/kg", 7.02394E+00
2012,"RRD2-1","Hg","CONFOODS","FISH","ug/kg", 3.95190E+02
2012,"RRD2-1","Hg","CONFOODS","FISH_2","ug/kg", 6.45119E+01
2012,"RRD2-1","Zn","CONFOODS","FISH","ug/kg", 1.63148E+02
2012,"RRD2-1","Zn","CONFOODS","FISH_2","ug/kg", 2.13131E+02
2012,"RRD2-1","ACNAPE","CAR","DOSEING","mg/kg-day", 1.58287E-08
2012,"RRD2-1","ACNAPE","CAR","DOSEINH","mg/kg-day", 1.71349E-09
2012,"RRD2-1","ACNAPE","CAR","DOSEDER","mg/kg-day", 1.22924E-13
2012,"RRD2-1","ACNAPE","CAR","RISKINH","Risk", 1.88483E-15
2012,"RRD2-1","ACNAPE","CAR","ANADOSE","mg/kg-day", 1.75423E-08
2012,"RRD2-1","ACNAPE","CAR","ANARISK","Risk", 1.88483E-15
2012,"RRD2-1","As","CAR","DOSEING","mg/kg-day", 3.84794E-06
2012,"RRD2-1","As","CAR","DOSEINH","mg/kg-day", 8.56742E-09
2012,"RRD2-1","As","CAR","DOSEDER","mg/kg-day", 2.23498E-10
2012,"RRD2-1","As","CAR","RISKING","Risk", 5.77191E-06
2012,"RRD2-1","As","CAR","RISKINH","Risk", 3.68399E-11
2012,"RRD2-1","As","CAR","RISKDER","Risk", 3.35247E-10
2012,"RRD2-1","As","CAR","ANADOSE","mg/kg-day", 3.85673E-06
2012,"RRD2-1","As","CAR","ANARISK","Risk", 5.77228E-06
2012,"RRD2-1","COMBIN","CAR","SUMRISK","Risk", 5.77228E-06
2012,"RRD2-1","COMBIN","ALL","SUMRISK","Risk", 5.77228E-06
2012,"RRD2-1","ACNAPE","HAZ","DOSEING","mg/kg-day", 1.58287E-08
2012,"RRD2-1","ACNAPE","HAZ","DOSEINH","mg/kg-day", 1.71349E-09
2012,"RRD2-1","ACNAPE","HAZ","DOSEDER","mg/kg-day", 1.22924E-13
2012,"RRD2-1","ACNAPE","HAZ","HQINH","Unitless", 2.85581E-08
2012,"RRD2-1","ACNAPE","HAZ","ANADOSE","mg/kg-day", 1.75423E-08
2012,"RRD2-1","ACNAPE","HAZ","ANAHQ","Unitless", 1.03933E-07
2012,"RRD2-1","As","HAZ","DOSEING","mg/kg-day", 3.84794E-06
2012,"RRD2-1","As","HAZ","DOSEINH","mg/kg-day", 8.56742E-09
2012,"RRD2-1","As","HAZ","DOSEDER","mg/kg-day", 2.23498E-10
2012,"RRD2-1","As","HAZ","HQING","Unitless", 1.28265E-02
2012,"RRD2-1","As","HAZ","HQINH","Unitless", 2.85581E-05
2012,"RRD2-1","As","HAZ","HQDER","Unitless", 7.44994E-07
2012,"RRD2-1","As","HAZ","ANADOSE","mg/kg-day", 3.85673E-06
2012,"RRD2-1","As","HAZ","ANAHQ","Unitless", 1.28558E-02
2012,"RRD2-1","Hg","HAZ","DOSEING","mg/kg-day", 1.54114E-05
2012,"RRD2-1","Hg","HAZ","DOSEINH","mg/kg-day", 1.28511E-06
2012,"RRD2-1","Hg","HAZ","DOSEDER","mg/kg-day", 2.34673E-11
2012,"RRD2-1","Hg","HAZ","ANADOSE","mg/kg-day", 1.66965E-05
2012,"RRD2-1","Hg","HAZ","ANAHQ","Unitless", 6.63146E-02
2012,"RRD2-1","Zn","HAZ","DOSEING","mg/kg-day", 1.26146E-05
2012,"RRD2-1","Zn","HAZ","DOSEINH","mg/kg-day", 2.69874E-06
2012,"RRD2-1","Zn","HAZ","DOSEDER","mg/kg-day", 4.92813E-11
2012,"RRD2-1","Zn","HAZ","ANADOSE","mg/kg-day", 1.53134E-05
2012,"RRD2-1","Zn","HAZ","ANAHQ","Unitless", 2.69874E+01
2012,"RRD2-1","COMBIN","HAZ","SUMHQ","Unitless", 2.70666E+01
